---
source: R[v4.5.0]::data.table[v1.17.0]::fwrite
creation_time_utc: 2025-08-18 13:52:36
schema:
  fields:
  - name: species
    type: character
  - name: year_
    type: integer
  - name: nest
    type: character
  - name: male_id
    type: integer
  - name: female_id
    type: integer
  - name: lat
    type: numeric
  - name: lon
    type: numeric
  - name: initiation
    type: POSIXct
header: yes
sep: ','
sep2:
- ''
- '|'
- ''
eol: "\r\n"
na.strings: ''
dec: '.'
qmethod: double
logical01: no
---
species,year_,nest,male_id,female_id,lat,lon,initiation
PESA,2005,P106,,162116348,71.32235,-156.65089,2005-06-17T00:00:00Z
PESA,2005,P110,,162116393,71.32432,-156.66705,2005-06-18T00:00:00Z
PESA,2005,P206,,162116337,71.32035,-156.66067,2005-06-18T00:00:00Z
PESA,2005,P002,,198103145,71.32346,-156.64578,2005-06-18T00:00:00Z
PESA,2005,P111,,198103163,71.3215,-156.66359,2005-06-20T00:00:00Z
PESA,2005,P304,,198103179,71.32128,-156.66576,2005-06-15T00:00:00Z
PESA,2005,P207,,198103114,71.32546,-156.64055,2005-06-15T00:00:00Z
PESA,2005,P112,,198103121,71.32125,-156.64338,2005-06-20T00:00:00Z
PESA,2005,P205,,198103122,71.32183,-156.62954,2005-06-17T00:00:00Z
PESA,2005,P305,,162116383,71.31984,-156.66565,2005-06-21T00:00:00Z
PESA,2005,P003,,198103176,71.32199,-156.674,2005-06-14T00:00:00Z
PESA,2005,P113,,198103200,71.31279,-156.66651,2005-06-09T00:00:00Z
PESA,2005,P405,,162116350,71.31976,-156.65571,2005-06-21T00:00:00Z
PESA,2005,P114,,162116326,71.32665,-156.62845,2005-06-18T00:00:00Z
PESA,2005,P004,,198116385,71.32401,-156.66782,2005-06-22T00:00:00Z
PESA,2005,P208,,198103103,71.32031,-156.67099,2005-06-17T00:00:00Z
PESA,2005,P006,,198103127,71.3269,-156.63023,2005-06-18T00:00:00Z
PESA,2005,P005,,198103152,71.3255,-156.64054,2005-06-20T00:00:00Z
PESA,2005,P504,,198103141,71.31365,-156.64794,2005-06-18T00:00:00Z
PESA,2005,P007,,198103135,71.32011,-156.64396,2005-06-21T00:00:00Z
PESA,2005,P008,,198103151,71.31524,-156.6676,2005-06-19T00:00:00Z
PESA,2005,P117,,162116360,71.3244,-156.65001,2005-06-16T00:00:00Z
PESA,2005,P009,,198103116,71.32221,-156.63336,2005-06-21T00:00:00Z
PESA,2005,P115,,198103131,71.31931,-156.64517,2005-06-17T00:00:00Z
PESA,2005,P116,,198103115,71.32166,-156.62873,2005-06-12T00:00:00Z
PESA,2005,P209,,198103143,71.32333,-156.62524,2005-06-16T00:00:00Z
PESA,2005,P118,,198103109,71.32483,-156.63468,2005-06-18T00:00:00Z
PESA,2005,P406,,198103146,71.32152,-156.67718,2005-06-23T00:00:00Z
PESA,2005,P407,,162116379,71.31853,-156.67062,2005-06-13T00:00:00Z
PESA,2005,P408,,198103118,71.31179,-156.66332,2005-06-13T00:00:00Z
PESA,2005,P010,,162116320,71.32428,-156.64258,2005-06-18T00:00:00Z
PESA,2005,P210,,198103140,71.32275,-156.64661,2005-06-20T00:00:00Z
PESA,2005,P211,,162116689,71.32544,-156.64718,2005-06-16T00:00:00Z
PESA,2005,P409,,162116690,71.31632,-156.654,2005-06-17T00:00:00Z
PESA,2005,P119,,198103192,71.31854,-156.65848,2005-06-22T00:00:00Z
PESA,2005,P120,,198103108,71.32373,-156.64822,2005-06-21T00:00:00Z
PESA,2005,P122,,162116696,71.31607,-156.65314,2005-06-23T00:00:00Z
PESA,2005,P121,,162116699,71.31565,-156.65256,2005-06-08T00:00:00Z
PESA,2005,P123,,162116686,71.32149,-156.6534,2005-06-16T00:00:00Z
PESA,2005,P012,,198103163,71.32236,-156.63748,2005-06-21T00:00:00Z
PESA,2005,P013,,,71.32393,-156.63237,2005-06-14T00:00:00Z
PESA,2006,P401,,199124677,71.32328,-156.67636,2006-06-06T00:00:00Z
PESA,2006,P701,,199177370,71.32227,-156.67655,2006-06-07T00:00:00Z
PESA,2006,P201,,199124681,71.32114,-156.66959,2006-06-09T00:00:00Z
PESA,2006,P402,,199177387,71.32366,-156.65009,2006-06-10T00:00:00Z
PESA,2006,P403,,199177386,71.32237,-156.66959,2006-06-11T00:00:00Z
PESA,2006,P202,,199177415,71.31812,-156.65316,2006-06-12T00:00:00Z
PESA,2006,P801,,199177388,71.3222,-156.65276,2006-06-12T00:00:00Z
PESA,2006,P204,,199177410,71.31977,-156.66548,2006-06-20T00:00:00Z
PESA,2006,P301,,199177408,71.31648,-156.66865,2006-06-14T00:00:00Z
PESA,2006,P203,,199177409,71.31811,-156.66957,2006-06-14T00:00:00Z
PESA,2006,P304,,199124687,71.31676,-156.64491,2006-06-17T00:00:00Z
PESA,2006,P805,,199124699,71.31269,-156.66759,2006-06-11T00:00:00Z
PESA,2006,P804,,199124698,71.3138,-156.66663,2006-06-14T00:00:00Z
PESA,2006,P803,,199124692,71.31684,-156.6601,2006-06-13T00:00:00Z
PESA,2006,P802,,199124690,71.31802,-156.65997,2006-06-17T00:00:00Z
PESA,2006,P302,,199177404,71.32041,-156.65598,2006-06-17T00:00:00Z
PESA,2006,P303,,199177403,71.31725,-156.64888,2006-06-15T00:00:00Z
PESA,2006,P207,,,71.32098,-156.64441,2006-06-15T00:00:00Z
PESA,2006,P404,,199124694,71.31975,-156.67044,2006-06-09T00:00:00Z
PESA,2006,P205,,199177407,71.32601,-156.64179,2006-06-05T00:00:00Z
PESA,2006,P208,,199177405,71.32134,-156.64662,2006-06-16T00:00:00Z
PESA,2006,P206,,199177411,71.32152,-156.64449,2006-06-16T00:00:00Z
PESA,2006,P101,,199177385,71.32319,-156.67309,2006-06-08T00:00:00Z
PESA,2006,P702,,199177406,71.32309,-156.6533,2006-06-14T00:00:00Z
PESA,2006,P601,,199124695,71.32088,-156.66311,2006-06-15T00:00:00Z
PESA,2006,P603,,199177402,71.31604,-156.65112,2006-06-15T00:00:00Z
PESA,2006,P305,,199124689,71.32004,-156.6591,2006-06-15T00:00:00Z
PESA,2006,P306,,199177382,71.31739,-156.65024,2006-06-18T00:00:00Z
PESA,2006,P806,,221113005,71.31476,-156.64604,2006-06-14T00:00:00Z
PESA,2006,P704,,221113098,71.3199,-156.64192,2006-06-13T00:00:00Z
PESA,2006,P703,,221113004,71.32129,-156.63878,2006-06-15T00:00:00Z
PESA,2006,P602,,199177389,71.32023,-156.65888,2006-06-11T00:00:00Z
PESA,2006,P604,,199177395,71.31839,-156.66275,2006-06-18T00:00:00Z
PESA,2006,P501,,199177392,71.32179,-156.6722,2006-06-14T00:00:00Z
PESA,2006,P405,,199177393,71.31584,-156.6581,2006-06-16T00:00:00Z
PESA,2006,P406,,221113002,71.32554,-156.64309,2006-06-16T00:00:00Z
PESA,2006,P102,,199177414,71.31866,-156.65158,2006-06-16T00:00:00Z
PESA,2006,P307,,221113099,71.32275,-156.64658,2006-06-12T00:00:00Z
PESA,2006,P705,,221113007,71.31987,-156.63527,2006-06-20T00:00:00Z
PESA,2006,P210,,199177396,71.32006,-156.6677,2006-06-24T00:00:00Z
PESA,2006,P209,,199177397,71.31993,-156.66935,2006-06-12T00:00:00Z
PESA,2006,P308,,199177394,71.31667,-156.65833,2006-06-16T00:00:00Z
PESA,2006,P807,,221113003,71.32244,-156.64614,2006-06-16T00:00:00Z
PESA,2006,P809,,198103107,71.31618,-156.6421,2006-06-12T00:00:00Z
PESA,2006,P211,,221113011,71.32012,-156.64406,2006-06-17T00:00:00Z
PESA,2006,P808,,221113097,71.31833,-156.64327,2006-06-14T00:00:00Z
PESA,2006,P901,,199124696,71.32079,-156.65104,2006-06-18T00:00:00Z
PESA,2006,P605,,211113096,71.32068,-156.64716,2006-06-18T00:00:00Z
PESA,2006,P309,,199177401,71.31239,-156.66112,2006-06-18T00:00:00Z
PESA,2006,P103,,199124700,71.32221,-156.6398,2006-06-24T00:00:00Z
PESA,2006,P902,,221113008,71.31772,-156.65519,2006-06-18T00:00:00Z
